,0 ≤ Category < 1,0 ≤ Category_JMR_up < 1
data,4.0,
hh4b,,0.02
hh4b-kl0,,0.02
hh4b-kl2p45,,0.01
hh4b-kl5,,0.02
vbfhh4b,,0.0
vbfhh4b-k2v0,,3.45
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,5.2
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,6.36
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.88
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.06
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.49
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.34
qcd,1.04,
ttbar,1.71,
gghtobb,0.02,
vbfhtobb,0.0,
vhtobb,,0.06
novhhtobb,0.02,
tthtobb,0.04,
diboson,,0.06
vjets,0.0,
