,3 ≤ Category < 4,3 ≤ Category_JMS_up < 4
data,584.0,
hh4b,,0.36
hh4b-kl2p45,,0.27
hh4b-kl5,,0.21
vbfhh4b,,0.01
vbfhh4b-k2v0,,2.35
vbfhh4b-kv1p74-k2v1p37-kl14p4,,2.29
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,4.19
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.36
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.03
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.13
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,4.63
ttbar,164.7,
gghtobb,0.52,
vbfhtobb,0.01,
vhtobb,,4.49
novhhtobb,0.58,
tthtobb,1.08,
zz,,5.92
nozzdiboson,,0.66
vjets,22.48,
