,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JER_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,6287466.0,2229933.0,1331150.0,2924.0
ttbar,65282.94,65282.94,18785.43,9098.94,10.04
qcd,4381637.28,4381637.28,1599270.9,960998.98,2244.03
hbb,431.59,431.59,166.14,144.33,19.37
Zto2Q,45814.95,45814.95,14767.65,10891.56,444.21
Wto2Q,64020.52,64020.52,20787.41,14820.39,11.57
Zto2Q_BB,14719.31,14719.31,4684.42,3970.74,425.38
Zto2Q_CC,7187.7,7187.7,2406.54,2136.06,11.6
Zto2Q_QQ,4486.37,4486.37,1472.35,1269.74,0.59
Zto2Q_unmatched,19421.57,19421.57,6204.35,3515.02,6.64
